"1","0","George Washington, ""The Father of Our Country"" fathered how many children?","History","",""
"1","0","How many handles are there on a goblet?","Language","",""
"1","0.5","The fraction one-half expressed as a decimal is ___.","Science","",""
"1","1","How many days does it take the Earth to spin once on its axis?","Science","",""
"1","1","The only two digits in the binary system are 0 and ___.","Science","",""
"1","2","US presidents are limited to serve no more than ___ terms of office.","History","",""
"1","3","How many times did Scarlett O'Hara marry in G.W.T.W.?","Literature","",""
"1","3","Insects have six legs and a body divided into ___ parts.","Science","",""
"1","4","How many chambers does the human heart contain?","Science","",""
"1","4","How many ghosts visited Scrooge in 'A Christmas Carol'?","Literature","",""
"1","4","How many stages are there considered to be in the life cycle of a butterfly?","Science","",""
"1","4","How many strings does a regular violin have?","Music","",""
"1","4","In baseball how many balls make a 'walk'?","Sports/Games","",""
"1","4","US president are elected to serve a ___ year term.","History","",""
"1","5","How many side are there on a 'home plate'?","Sports/Games","",""
"1","5","The Lincoln Memorial' is pictured on the back of the U.S. ____dollar bill.","Geography","",""
"1","5","What is the remainder when you subtract the number of 'Days in a week' from the number of  'Months in a year?","Science","",""
"1","6","A pool table has ___ pockets.","Sports/Games","",""
"1","6","How many categories of questions are there I,n “Trivial Pursuit”?","Sports/Games","",""
"1","6","How many legs does an insect normally have?","Science","",""
"1","6","How many players make up an ice- hockey team?","Sports/Games","",""
"1","6","How many sides does a snowflake have?","Science","",""
"1","6","How many white stripes are on the U.S. flag?","History","",""
"1","7","Earth is the third planet from the sun. Uranus is the ___th planet from the sun. (A numeral)","Science","",""
"1","7","How many stars are there in the Big Dipper?","Science","",""
"1","8","How many legs do arachnids have?","Science","",""
"1","8","How many planets are there in our Solar System?","Science","",""
"1","8","How much is 4 divided by one-half?","Science","",""
"1","9","How many U.S. Supreme Court Justices are there?","History","",""
"1","9","Provide the missing number of the poetic line. “It looked extremely rocky for the Mudville ___ that day”.","Literature","",""
"1","10","Diving judges score each dive with a possible range of scores from 1 to __.","Sports/Games","",""
"1","10","How many plagues did Moses release on Egypt through the power of God?","Art/Culture","",""
"1","10","How many provinces are there in Canada?","Geography","",""
"1","12","There are ___ face cards in a regulation card deck.","Sports/Games","",""
"1","13","How many is a ""baker's dozen""?","Language","",""
"1","13","How many live figures are portrayed in Leonardo da Vinci's ""The Last Supper""?","Arts/Culture","",""
"1","13","The first official American flag (1776) had 13 stripes and ___ stars.","History","",""
"1","13","When the U.S. 'Declaration of Independence' was signed there were __ states.","History","",""
"1","14","How many nights are in a fortnight?","Language","",""
"1","14","What number is XIV?","Art/Culture","",""
"1","19","What number is the sum of: Days in a week + Months in a year?","Science","",""
"1","20","Provide the missing number of the poetic line. “Now of my threescore years and ten, ____ will not come again.”","Literature","",""
"1","20","The White House' is pictured on the back of the U.S. ____ dollar  bill.","Geography","",""
"1","21","By what number is ""Blackjack"" also known?","Art/Culture","",""
"1","24","If each time zone were 1 hour apart, there would be ___ in the world.","Science","",""
"1","30","How many pieces of silver did Judas receive in payment?","Literature","",""
"1","32","The normal adult has ___ permanent teeth.","Science","",""
"1","39","Jack Benny always gave this number as his age.","People","",""
"1","48","How many contiguous states are there in the United States?","Geography","",""
"1","48","How many stars were on the U.S. flag in 1954 when Nov.11 officially became Veteran's Day?","History","",""
"1","49","How many of the states of the United States are in North America?","Geography","",""
"1","60","What number is the sum of: The Biblical Commandments + U.S. States?","Science","",""
"1","61","Roger Maris hit ___ homers to break Ruth's single season record.","Sports/Games","",""
"1","64","How many small squares are there on a chessboard?","Sports/Games","",""
"1","75","If an item is 18 karats what percentage is the gold content?","Science","",""
"1","80","Provide the missing number of the Jules Verne title; ‘Around the World in __ Days'. (provide a numeral)","Literature","",""
"1","80","What number is the sum of: Dimes in 2 dollars + Minutes in an hour?","Science","",""
"1","100","How many yards is it from goal line to goal line in American football?","Sports/Games","",""
"1","150","There are ____ seconds in 2.5 minutes.","Geography","",""
"1","180","A 'straight angle' equals ___ degrees.","Science","",""
"1","180","If 2 adjacent angles form a straight line what is their sum in degrees?","Science","",""
"1","180","The sum of the angles in a triangle is ___ degrees.","Science","",""
"1","600","How many rode into the valley of death in 'The Charge of the Light Brigade'?","Literature","",""
"1","600","Provide the missing number of the poetic line. “All in the valley of Death, rode the ______.”","Literature","",""
"1","666","In the Bible what is the number of the 'Beast'?","Literature","",""
"1","1492","Columbus discovered America in the year ____.","History","",""
"1","1776","In what year was the ""Declaration of Independence"" written?","History","",""
"1","1912","The 'Titanic' sank in the year ___.","History","",""
"1","1917","'The Great War' lasted from 1914-1918. In which year did the USA enter the war?","History","",""
"1","1984","No. 6079, Winston Smith, was the main character in this George Orwell novel. (Use numerals for the answer)","Literature","",""
"1","2000","What is the rent in dollars for a hotel on Boardwalk in the game of Monopoly?","Sports/Games","",""
"1","49ers","National Football League team: San Francisco _____","Sports/Games","",""
"1","76ers","National Basketball team name: Philadelphia _____.","Sports/Games","",""
"1","A","What letter was 'The Scarlet Letter'?","Literature","",""
"1","A Tale of Two Cities","In what novel are the words, 'It was the best of times, it was the worst of times...'? (5 word title)","Literature","",""
"1","A Tale of Two Cities","In what novel would you find Charles Darnay and Madame Defarge? (5 word title)","Literature","",""
"1","A Tale of Two Cities","This novel ends with, ‘It is a far, far better thing that I do, than I have ever done.....' (5 word title)","Literature","",""
"1","Abbey","Jane Austen's works include, ""Northanger _____"".","Literature","",""
"1","Abraham","His willingness to sacrifice his son Isaac proved his devotion to God.","Literature","",""
"1","Absence","Provide the missing word. ""____ makes the heart grow fonder"".","Language","",""
"1","Accidents","Provide the missing word.  '____ will happen in the best-regulated families'.","Language","",""
"1","Accountant","What professional person is called a “number cruncher”? (1 word)","Language","",""
"1","Acid","An ____ changes litmus paper to red.","Science","",""
"1","Acid","In chemistry the opposite of a 'base' is an ____.","Science","",""
"1","Acorns","Provide the missing word. ""Mighty oaks from little _____ grow"".","Language","",""
"1","Act","What one 3-letter word can have both meanings?  Part of a play...A single thing that one does.","Language","",""
"1","Adams","John _____followed George Washington as US President.","People","",""
"1","Aesop","_____ is credited as the writer/collector of many famous ‘fables’.","Literature","",""
"1","Africa","Asia is the continent with the most people. What continent ranks second?","Geography","",""
"1","Africa","Asia is the largest continent. What continent is next in size?","Geography","",""
"1","Africa","Carthage' was a major city of ancient history. On what continent was it located?","History","",""
"1","Africa","Complete the title of the Best Picture Oscar winner for the year 1985: ""Out of _____""","Film","",""
"1","Agatha Christie","She raised the ""whodunit"" genre to new heights in literature. (Initials A.C.)","Literature","",""
"1","Agatha Christie","Who created the fictional detective, Miss Marple?","Literature","",""
"1","Agent","In the 1996 film ""Jerry Maguire"" Tom Cruise worked as a sports ____. (5 letters)","Film","",""
"1","Air force","Hermann Goering was in charge of the German _____ during WWII.  (2 words)","History","",""
"1","Airplane","You would most likely experience 'turbulence' while in an _____. (8 letter word)","Language","",""
"1","Airplanes","Name the specific product generally associated with ""Cessna"" and ""Lockheed""","Business","",""
"1","Al Jolson","On October 6,1927 'The Jazz Singer' starring ___, opened in New York City.","Art/Culture","",""
"1","Alamo","The Texan battle cry was, 'Remember the ___'.","History","",""
"1","Alaska","In which state is the largest legally established county?","Geography","",""
"1","Alaska","On March 30,1867 the United States purchased______.","Dates","",""
"1","Alaska","What state of the U.S. is next alphabetically? Alabama","Geography","",""
"1","Alaska","What US state uses the abbreviation AK?","Geography","",""
"1","Alaska","Which U.S. state borders a Canadian 'Territory'?","Geography","",""
"1","Alaska","Which U.S. state has the largest number of active volcanoes?","Geography","",""
"1","Albert ","What was the first name of the famous physicist, Einstein?","Science","",""
"1","Alcatraz","Complete the film title with a word ending in “z”. Escape from ____ (1979)","Film","",""
"1","Alcoholic","During the 'Prohibition Era' it was illegal to buy ____ beverages. (9 letter word)","Language","",""
"1","Aldrin","The first 2 people to walk on the moon were Neil Armstrong and Buzz _____.","History","",""
"1","Alexandria","""The Pharos of _____"" was one of the ancient 'Wonders of the World' .","History","",""
"1","Alice","The most famous character created by author Lewis Carroll was named ____.","Literature","",""
"1","Alimony","Money paid for the support of a former spouse is called _____. (7 letter  word)","Language","",""
"1","All","The last word of the American 'Pledge of Allegiance' is ____.","History","",""
"1","All in the Family","Archie Bunker and his daughter Gloria were characters on this TV show. (4 words)","Film","",""
"1","All in the Family","Name the TV series that used the theme song: ""Those Were The Days"".  (4 words)","TV","",""
"1","All in the Family","What TV series had an episode titled: ""Archie Gives Blood”?   ( 4 words)","TV","",""
"1","Allah","The 'god' of the Muslim religion is called ____.","Language","",""
"1","Alliteration","The repetition of beginning sounds as in 'fickle finger of fate' is called an ____.","Language","",""
"1","Alloys","Combinations of metals such as bronze are known as ____.","Science","",""
"1","Allstate","What insurance company puts you ""in good hands""?","Business","",""
"1","Alone","Two-word film title: ""Home ___"" (1990)","Film","",""
"1","Amadeus","What was the middle name of the composer Mozart?","People","",""
"1","Amazon","Based on discharge of water what is the largest river in the world?","Geography","",""
"1","Amazon","The second longest river, after the Nile, is the ____.","Geography","",""
